Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
149,Hersey Hawkins\hawkihe01,SG,24,PHI,80,80,38.9,7.4,15.6,0.472,1.4,3.4,0.4,6,12.3,0.491,0.515,6,6.9,0.871,0.6,3.3,3.9,3.7,2.2,0.5,2.7,2.3,22.1
150,Gerald Henderson\hendege01,PG,35,DET,23,10,17,2.2,5.1,0.427,0.3,0.9,0.333,1.9,4.2,0.448,0.457,0.7,0.9,0.762,0.3,1.3,1.6,2.7,0.5,0.1,1.2,1.9,5.3
151,Steve Henson\hensost01,PG,22,MIL,68,0,10.1,1.2,2.8,0.418,0.3,0.8,0.333,0.9,2,0.452,0.466,0.6,0.6,0.905,0.2,0.5,0.8,1.9,0.5,0,0.6,1.2,3.1
152,Mike Higgins\higgimi01,SF,23,SAC,7,0,8.7,0.9,1.4,0.6,0,0,,0.9,1.4,0.6,0.6,0.6,1,0.571,0.6,0.1,0.7,0.3,0,0.3,0.6,2.3,2.3
153,Rod Higgins\higgiro01,SF,31,GSW,82,9,24.7,3.2,6.8,0.463,0.9,2.7,0.332,2.3,4.1,0.549,0.529,2.3,2.8,0.819,1.3,3,4.3,1.4,0.6,0.5,0.8,2.4,9.5
154,Sean Higgins\higgise01,SF,22,SAS,50,0,9.3,1.9,4.2,0.458,0.1,0.4,0.158,1.9,3.9,0.487,0.465,0.6,0.7,0.848,0.4,0.9,1.3,0.7,0.2,0,1,1.1,4.5
155,Tyrone Hill\hillty01,PF,22,GSW,74,22,16.1,2,4,0.492,0,0,,2,4,0.492,0.492,1.3,2.1,0.632,2.1,3.1,5.2,0.3,0.4,0.4,1,3.6,5.3
156,Roy Hinson\hinsoro01,PF,29,NJN,9,0,10.1,2.2,4.3,0.513,0,0,,2.2,4.3,0.513,0.513,0.1,0.3,0.333,0.7,1.4,2.1,0.4,0,0.3,0.7,1.6,4.6
157,Craig Hodges\hodgecr01,SG,30,CHI,73,0,11.5,2,4.7,0.424,0.6,1.6,0.383,1.4,3.1,0.445,0.488,0.4,0.4,0.963,0.1,0.4,0.6,1.3,0.5,0,0.5,1,5
158,Dave Hoppen\hoppeda01,C,26,TOT,30,0,5.2,0.8,1.5,0.545,0,0.1,0,0.8,1.4,0.571,0.545,0.5,0.7,0.727,0.6,0.7,1.3,0.1,0.1,0,0.4,1,2.1
158,Dave Hoppen\hoppeda01,C,26,CHH,19,0,5.9,0.9,1.7,0.563,0,0.1,0,0.9,1.6,0.581,0.563,0.4,0.5,0.8,0.7,0.8,1.6,0.2,0.1,0.1,0.6,0.9,2.3
158,Dave Hoppen\hoppeda01,C,26,PHI,11,0,3.9,0.5,1.1,0.5,0,0.1,0,0.5,1,0.545,0.5,0.7,1.1,0.667,0.4,0.5,0.8,0,0.1,0,0.1,1,1.8
159,Dennis Hopson\hopsode01,SF,25,CHI,61,0,11.9,1.7,4,0.426,0,0.1,0.2,1.7,3.9,0.431,0.428,0.9,1.4,0.663,0.8,1,1.8,1.1,0.4,0.2,1,1.3,4.3
160,Jeff Hornacek\hornaje01,SG,27,PHO,80,77,34.2,6.8,13.1,0.518,0.8,1.8,0.418,6,11.3,0.534,0.547,2.5,2.8,0.897,0.9,3.1,4,5.1,1.4,0.2,1.6,2.3,16.9
161,Jay Humphries\humphja01,PG,28,MIL,80,80,34.1,6,12,0.502,0.8,2,0.373,5.3,10,0.528,0.533,2.4,3,0.799,0.7,2,2.8,6.7,1.6,0.1,1.9,3,15.2
162,Byron Irvin\irvinby01,SG,24,WSB,33,4,9.6,1.8,3.9,0.465,0,0.2,0.2,1.8,3.8,0.476,0.469,1.5,1.8,0.82,0.7,0.6,1.4,0.7,0.5,0.1,0.5,1,5.2
163,Mark Jackson\jacksma01,PG,25,NYK,72,21,22.2,3.5,7.1,0.492,0.2,0.7,0.255,3.3,6.3,0.519,0.505,1.6,2.2,0.731,0.9,1.9,2.7,6.3,0.8,0.1,1.9,1.1,8.8
